,User,Content,Like_Count,Quote_Count,Reply_Count,Date,content_words,words,neg,neu,pos,compound,label
10,384,"@realmattcpa @financialjuice uh, not quite yet, though this certainly makes it look like we're now exposed to bailing out the entire world economy in the future. Right now this (i think, i'm not sure) makes it look like the world economy is now bailing out our failing small banks.",0,0,2,2023-03-19,realmattcpa financialjuice uh quite yet though certainly makes look like exposed bailing entire economy future right think im sure makes look like economy bailing failing small banks,"['realmattcpa', 'financialjuice', 'uh', 'quite', 'yet', 'though', 'certainly', 'makes', 'look', 'like', 'exposed', 'bailing', 'entire', 'economy', 'future', 'right', 'think', 'im', 'sure', 'makes', 'look', 'like', 'economy', 'bailing', 'failing', 'small', 'banks']",0.129,0.59,0.28,0.6557,positive
11,1524,"@Niiklas2022 @andrewgbelcher1 @mr_digdeeper @PeterSchiff @CNBC Most will get removed parmently.

When CBDCs are ready they will reset the world economy.

Debt of central banks will be removed in relation to each other. 

For an example e-Euro will have a balance sheet that is equal to only 20% of their current Euro balance sheet.",0,0,1,2023-03-19,mrdigdeeper peterschiff cnbc get removed parmentlywhen cbdcs ready reset economydebt central banks removed relation example eeuro balance sheet equal current euro balance sheet,"['mrdigdeeper', 'peterschiff', 'cnbc', 'get', 'removed', 'parmentlywhen', 'cbdcs', 'ready', 'reset', 'economydebt', 'central', 'banks', 'removed', 'relation', 'example', 'eeuro', 'balance', 'sheet', 'equal', 'current', 'euro', 'balance', 'sheet']",0.0,0.898,0.102,0.3612,positive
12,1059,"@pedroROLO11 @patrick_de_so @visegrad24 The point is that why does Russia, with limited access to the world economy, have about the same economic activity than Romania with even more connections to the collective west. 
It's because Russian economy and state are persistant, while Romania is weak and used.",0,0,1,2023-03-19,patrickdeso point russia limited access economy economic activity romania even connections collective west russian economy state persistant romania weak used,"['patrickdeso', 'point', 'russia', 'limited', 'access', 'economy', 'economic', 'activity', 'romania', 'even', 'connections', 'collective', 'west', 'russian', 'economy', 'state', 'persistant', 'romania', 'weak', 'used']",0.211,0.789,0.0,-0.5859,negative
13,906,@peruvian_bull Those Archegos bags bringing down the world economy lmao,0,0,0,2023-03-19,peruvianbull archegos bags bringing economy lmao,"['peruvianbull', 'archegos', 'bags', 'bringing', 'economy', 'lmao']",0.0,0.562,0.438,0.5994,positive
14,2500,"@y2kulturkampf @bebop789 @gmbutts 🤣🤣🤣 have you taken a look at the world economy lately, which is a direct result from ALL the brilliantly ""successful"" covid policies that were implemented over the last few years. Although libs do enjoy basking in utter failure, so I can't say I'm surprised.",0,0,1,2023-03-19,gmbutts 🤣🤣🤣 taken look economy lately direct result brilliantly successful covid policies implemented last years although libs enjoy basking utter failure cant say im surprised,"['gmbutts', '🤣🤣🤣', 'taken', 'look', 'economy', 'lately', 'direct', 'result', 'brilliantly', 'successful', 'covid', 'policies', 'implemented', 'last', 'years', 'although', 'libs', 'enjoy', 'basking', 'utter', 'failure', 'cant', 'say', 'im', 'surprised']",0.138,0.556,0.306,0.7926,positive
15,986,@PeterSchiff They sold securities they didn’t own. I don’t care what anyone says. Stop naked shorting it’s destroying the world economy,4,0,1,2023-03-19,peterschiff sold securities didn’t don’t care anyone says stop naked shorting it’s destroying economy,"['peterschiff', 'sold', 'securities', 'didn’t', 'don’t', 'care', 'anyone', 'says', 'stop', 'naked', 'shorting', 'it’s', 'destroying', 'economy']",0.274,0.472,0.255,-0.1027,negative
16,2691,"@Fakt_o_mas @stevedailes @Trollstoy88 As I said, China is a civilization state unlike America. During the Song Dynasty, China was the wealthiest country on earth. America is still a baby that is currently in decline as China rises to take its rightful place in the world economy. Just a matter of time. Lol",0,0,2,2023-03-19,faktomas stevedailes said china civilization state unlike america song dynasty china wealthiest country earth america still baby currently decline china rises take rightful place economy matter time lol,"['faktomas', 'stevedailes', 'said', 'china', 'civilization', 'state', 'unlike', 'america', 'song', 'dynasty', 'china', 'wealthiest', 'country', 'earth', 'america', 'still', 'baby', 'currently', 'decline', 'china', 'rises', 'take', 'rightful', 'place', 'economy', 'matter', 'time', 'lol']",0.0,0.779,0.221,0.7269,positive
17,1139,"Everyone thought #CreditSuisse was one of the most stable institutes in world economy. Yet, it was bankrupt. This probably didn't happen over a week or a month. Shows some people in high places are incompitent the least,if not worse. All institutes must be checked by independents",1,0,1,2023-03-19,everyone thought creditsuisse one stable institutes economy yet bankrupt probably didnt happen week month shows people high places incompitent leastif worse institutes must checked independents,"['everyone', 'thought', 'creditsuisse', 'one', 'stable', 'institutes', 'economy', 'yet', 'bankrupt', 'probably', 'didnt', 'happen', 'week', 'month', 'shows', 'people', 'high', 'places', 'incompitent', 'leastif', 'worse', 'institutes', 'must', 'checked', 'independents']",0.217,0.712,0.071,-0.6705,negative
18,1682,"@nomames_bro @spookymufu @EricShapiro3 @ninaturner @elonmusk @POTUS @CommunityNotes So innovation only until you deem it to be too much? Amazon changed the world economy, allowing businesses to more efficiently and cheaply move goods… Innovation is either pro or against, liking the idea of only millionaires is idealistic not realistic.",0,0,0,2023-03-19,nomamesbro spookymufu ninaturner elonmusk potus communitynotes innovation deem amazon changed economy allowing businesses efficiently cheaply move goods… innovation either pro liking idea millionaires idealistic realistic,"['nomamesbro', 'spookymufu', 'ninaturner', 'elonmusk', 'potus', 'communitynotes', 'innovation', 'deem', 'amazon', 'changed', 'economy', 'allowing', 'businesses', 'efficiently', 'cheaply', 'move', 'goods…', 'innovation', 'either', 'pro', 'liking', 'idea', 'millionaires', 'idealistic', 'realistic']",0.0,0.557,0.443,0.9201,positive
19,975,@okieyardbird @WallStreetSilv Damn...now I have to use Sponge-opoly family game night to explain to my 10 year old why the world economy is about to fail.,0,0,0,2023-03-19,okieyardbird wallstreetsilv damnnow use spongeopoly family game night explain year old economy fail,"['okieyardbird', 'wallstreetsilv', 'damnnow', 'use', 'spongeopoly', 'family', 'game', 'night', 'explain', 'year', 'old', 'economy', 'fail']",0.226,0.774,0.0,-0.5423,negative
20,2889,"@RunningBear571 @TRBthe3rd @KristieSluder1 @mitchellvii Literally, it means ""this for that."" Quid pro Quo is why I left the grocery store today with several bags of food and was not stopped by security. Quid pro quo is what the world economy is based on. Trump was not impeached for ""quid pro quo"" by itself.",0,0,0,2023-03-19,mitchellvii literally means quid pro quo left grocery store today several bags food stopped security quid pro quo economy based trump impeached quid pro quo,"['mitchellvii', 'literally', 'means', 'quid', 'pro', 'quo', 'left', 'grocery', 'store', 'today', 'several', 'bags', 'food', 'stopped', 'security', 'quid', 'pro', 'quo', 'economy', 'based', 'trump', 'impeached', 'quid', 'pro', 'quo']",0.07,0.842,0.088,0.128,positive
21,3508,"@JordanInHouston @academic_la @AOC @BernieSanders @IlhanMN this is not my recollection of bernie at all.  i do not recall him promoting it.  he attributed that the thought existed due to british dissatisfaction with the world economy, and left to their voting.  i did not agree with that assessment, but that is not promoting it.",1,0,2,2023-03-19,jordaninhouston academicla aoc berniesanders ilhanmn recollection bernie recall promoting attributed thought existed due british dissatisfaction economy left voting agree assessment promoting,"['jordaninhouston', 'academicla', 'aoc', 'berniesanders', 'ilhanmn', 'recollection', 'bernie', 'recall', 'promoting', 'attributed', 'thought', 'existed', 'due', 'british', 'dissatisfaction', 'economy', 'left', 'voting', 'agree', 'assessment', 'promoting']",0.116,0.614,0.271,0.5106,positive
22,1738,"The damage was done when you shut down an world economy, killed small business, promoted an ineffective harmful vaccine, shut down ivermectin, dropped interest rates to zero, printed 6 trillion dollars.  You have done enough damage.  The price must be paid.  Depression.  Fool",0,0,0,2023-03-19,damage done shut economy killed small business promoted ineffective harmful vaccine shut ivermectin dropped interest rates zero printed trillion dollars done enough damage price must paid depression fool,"['damage', 'done', 'shut', 'economy', 'killed', 'small', 'business', 'promoted', 'ineffective', 'harmful', 'vaccine', 'shut', 'ivermectin', 'dropped', 'interest', 'rates', 'zero', 'printed', 'trillion', 'dollars', 'done', 'enough', 'damage', 'price', 'must', 'paid', 'depression', 'fool']",0.424,0.446,0.129,-0.9217,negative
23,2209,@hany @wavylee1 @zachweinberg that's not what I meant.....if the dollar loses its status as a reserve currency that indicates that the world economy has functionally collapsed - why would the world be operating servers and digital ledgers in the event of a global economic collapse,0,0,1,2023-03-19,hany zachweinberg thats meantif dollar loses status reserve currency indicates economy functionally collapsed would operating servers digital ledgers event global economic collapse,"['hany', 'zachweinberg', 'thats', 'meantif', 'dollar', 'loses', 'status', 'reserve', 'currency', 'indicates', 'economy', 'functionally', 'collapsed', 'would', 'operating', 'servers', 'digital', 'ledgers', 'event', 'global', 'economic', 'collapse']",0.286,0.714,0.0,-0.765,negative
24,851,"Despite skepticism, Srinivasan's bet has sparked discussion about Bitcoin's role as a store of value in a financial crisis. If his prediction comes true, it could inspire hope for a world economy that values alternative assets. #StoreOfValue #FinancialCrisis",0,0,1,2023-03-19,despite skepticism srinivasans bet sparked discussion bitcoins role store value financial crisis prediction comes true could inspire hope economy values alternative assets storeofvalue financialcrisis,"['despite', 'skepticism', 'srinivasans', 'bet', 'sparked', 'discussion', 'bitcoins', 'role', 'store', 'value', 'financial', 'crisis', 'prediction', 'comes', 'true', 'could', 'inspire', 'hope', 'economy', 'values', 'alternative', 'assets', 'storeofvalue', 'financialcrisis']",0.108,0.421,0.472,0.8966,positive
25,851,"Srinivasan predicts a ""hyperbitcoinization"" of the global economy, with the US dollar's rapid devaluation making the world economy ""redenominate on Bitcoin as digital gold"". This would increase Bitcoin's market cap from $549bn to around $19.3tn. #DigitalGold #MarketCap",0,0,2,2023-03-19,srinivasan predicts hyperbitcoinization global economy us dollars rapid devaluation making economy redenominate bitcoin digital gold would increase bitcoins market cap around digitalgold marketcap,"['srinivasan', 'predicts', 'hyperbitcoinization', 'global', 'economy', 'us', 'dollars', 'rapid', 'devaluation', 'making', 'economy', 'redenominate', 'bitcoin', 'digital', 'gold', 'would', 'increase', 'bitcoins', 'market', 'cap', 'around', 'digitalgold', 'marketcap']",0.0,0.905,0.095,0.3182,positive
26,1013,"Central Banks, by raising rates have deliberately caused the world economy to slow dramatically by crushing the consumer thereby setting the stage for the current banking crisis  due to the aforementioned reasons outlined in this thread.",3,0,0,2023-03-19,central banks raising rates deliberately caused economy slow dramatically crushing consumer thereby setting stage current banking crisis due aforementioned reasons outlined thread,"['central', 'banks', 'raising', 'rates', 'deliberately', 'caused', 'economy', 'slow', 'dramatically', 'crushing', 'consumer', 'thereby', 'setting', 'stage', 'current', 'banking', 'crisis', 'due', 'aforementioned', 'reasons', 'outlined', 'thread']",0.248,0.752,0.0,-0.765,negative
27,439,"@i_am_jackis @ziddi_ass This is irresponsible.  Look at the world economy around you; when people have less money to invest into crypto, what do you think happens?  Recessionary market is going to hurt a lot of people’s feelings.  You’re literally leading people to a fall.",6,0,1,2023-03-19,iamjackis ziddiass irresponsible look economy around people less money invest crypto think happens recessionary market going hurt lot people’s feelings you’re literally leading people fall,"['iamjackis', 'ziddiass', 'irresponsible', 'look', 'economy', 'around', 'people', 'less', 'money', 'invest', 'crypto', 'think', 'happens', 'recessionary', 'market', 'going', 'hurt', 'lot', 'people’s', 'feelings', 'you’re', 'literally', 'leading', 'people', 'fall']",0.215,0.785,0.0,-0.743,negative
28,3095,"@DVOF10 @WelshStacker @balajis That doesn't concern me. 
I chose not to participate in the ruin of the world economy the best I can",0,0,1,2023-03-19,welshstacker balajis doesnt concern chose participate ruin economy best,"['welshstacker', 'balajis', 'doesnt', 'concern', 'chose', 'participate', 'ruin', 'economy', 'best']",0.253,0.467,0.28,0.1027,positive
29,2378,"@LibertyLockPod I am starting to regret even bothering to know all I know about events as these &amp; the gov &amp; banks &amp; corps aims for the world &amp; economy &amp; gov system it will be in future as so . .

If we can’t anything to stop things that are going wrong because gov won’t let us . . Why b bothered",0,0,0,2023-03-19,libertylockpod starting regret even bothering know know events amp gov amp banks amp corps aims amp economy amp gov system future can’t anything stop things going wrong gov won’t let us b bothered,"['libertylockpod', 'starting', 'regret', 'even', 'bothering', 'know', 'know', 'events', 'amp', 'gov', 'amp', 'banks', 'amp', 'corps', 'aims', 'amp', 'economy', 'amp', 'gov', 'system', 'future', 'can’t', 'anything', 'stop', 'things', 'going', 'wrong', 'gov', 'won’t', 'let', 'us', 'b', 'bothered']",0.325,0.675,0.0,-0.9001,negative
30,27,"@CTVNews Is it smaller. Russia is still 1 massive country, and how are you going to get without declaring a third world war . Do you think russia is alone .they've got China. Don't forget almost everything comes from China and it's really cheap. Agood way to make crash the world economy.",0,0,0,2023-03-19,ctvnews smaller russia still massive country going get without declaring third war think russia alone theyve got china dont forget almost everything comes china really cheap agood way make crash economy,"['ctvnews', 'smaller', 'russia', 'still', 'massive', 'country', 'going', 'get', 'without', 'declaring', 'third', 'war', 'think', 'russia', 'alone', 'theyve', 'got', 'china', 'dont', 'forget', 'almost', 'everything', 'comes', 'china', 'really', 'cheap', 'agood', 'way', 'make', 'crash', 'economy']",0.129,0.739,0.132,0.0289,positive
31,1895,"@technologypoet The world economy is on autopilot, until the fuel runs out... Nobody is driving this thing",2,0,1,2023-03-19,technologypoet economy autopilot fuel runs nobody driving thing,"['technologypoet', 'economy', 'autopilot', 'fuel', 'runs', 'nobody', 'driving', 'thing']",0.0,1.0,0.0,0.0,neutral
32,577,"4. And because Troy fancies himself a futurist, but is nowhere near Kahn's level, we of course get some confidently wrong predictions.

It's been 9 years and there is not reduced car ownership nor has it ushered in a major shift in the world economy",1,0,1,2023-03-19,troy fancies futurist nowhere near kahns level course get confidently wrong predictionsits years reduced car ownership ushered major shift economy,"['troy', 'fancies', 'futurist', 'nowhere', 'near', 'kahns', 'level', 'course', 'get', 'confidently', 'wrong', 'predictionsits', 'years', 'reduced', 'car', 'ownership', 'ushered', 'major', 'shift', 'economy']",0.128,0.744,0.128,0.0,neutral
33,577,"Dave is not bullish on car sales. Why?

""Car-sharing [apps are] exploding [and] revolutionizing how cars are used""

Once any car is a click away, why own one? This will be major shift in the world economy. Look out 2020. https://t.co/D6EaolZQxz",2,0,1,2023-03-19,dave bullish car sales whycarsharing exploding revolutionizing cars usedonce car click away one major shift economy look,"['dave', 'bullish', 'car', 'sales', 'whycarsharing', 'exploding', 'revolutionizing', 'cars', 'usedonce', 'car', 'click', 'away', 'one', 'major', 'shift', 'economy', 'look']",0.0,1.0,0.0,0.0,neutral
34,697,"@malc_hill @RachelReevesMP And Bankers like you caused unemployment across the world, only for Gordon Brown to save the world economy .
Scousers not English",0,0,0,2023-03-19,malchill rachelreevesmp bankers like caused unemployment across gordon brown save economy scousers english,"['malchill', 'rachelreevesmp', 'bankers', 'like', 'caused', 'unemployment', 'across', 'gordon', 'brown', 'save', 'economy', 'scousers', 'english']",0.156,0.538,0.306,0.4215,positive
35,1179,"@Ashcryptoreal Vechain and fetch ai will do well. If China takes over the world economy vechain is 50x , KDA and flux with WordPress are a good investment but relatively low ranked . 👍",0,0,0,2023-03-19,ashcryptoreal vechain fetch ai well china takes economy vechain kda flux wordpress good investment relatively low ranked 👍,"['ashcryptoreal', 'vechain', 'fetch', 'ai', 'well', 'china', 'takes', 'economy', 'vechain', 'kda', 'flux', 'wordpress', 'good', 'investment', 'relatively', 'low', 'ranked', '👍']",0.1,0.664,0.237,0.4404,positive
36,976,"Mortgage rates, high prices still dim 2023 real estate market #USFederalReserve #WorldEconomy #FederalReserve #FederalReserveBank [Video] https://t.co/nIQtwnGs8e",0,0,0,2023-03-19,mortgage rates high prices still dim real estate market usfederalreserve worldeconomy federalreserve federalreservebank,"['mortgage', 'rates', 'high', 'prices', 'still', 'dim', 'real', 'estate', 'market', 'usfederalreserve', 'worldeconomy', 'federalreserve', 'federalreservebank']",0.0,1.0,0.0,0.0,neutral
37,2378,"@rafaelcoronel @zingali_shawn @ClownWorld_ Lol that was kinda the point 

Though on serious note of Greta .. I never researched her fully &amp; just took as a given she was a gov plant to push the new world economy system based in environmental fears &amp; fake promises of addressing those worries through such a system. .",0,0,0,2023-03-19,rafaelcoronel zingalishawn clownworld lol kinda point though serious note greta never researched fully amp took given gov plant push new economy system based environmental fears amp fake promises addressing worries system,"['rafaelcoronel', 'zingalishawn', 'clownworld', 'lol', 'kinda', 'point', 'though', 'serious', 'note', 'greta', 'never', 'researched', 'fully', 'amp', 'took', 'given', 'gov', 'plant', 'push', 'new', 'economy', 'system', 'based', 'environmental', 'fears', 'amp', 'fake', 'promises', 'addressing', 'worries', 'system']",0.243,0.623,0.135,-0.5165,negative
38,1457,"This is the Hail Mary attempt to keep the world economy from completely crashing… you will look back on this event as absolutely historic. 

(If you’ve never sent up a prayer for the banks before… they need you to now.) 🙏",0,0,0,2023-03-19,hail mary attempt keep economy completely crashing… look back event absolutely historic you’ve never sent prayer banks before… need 🙏,"['hail', 'mary', 'attempt', 'keep', 'economy', 'completely', 'crashing…', 'look', 'back', 'event', 'absolutely', 'historic', 'you’ve', 'never', 'sent', 'prayer', 'banks', 'before…', 'need', '🙏']",0.0,0.933,0.067,0.0772,positive
39,1743,"@lyonsnicholas1 @EpsilonTheory Globalism is dead. Don’t care about the world economy under a fiat system. Return to a sustainable system rather than relying on “growth” that was built on corrupt arbitrage. Any system that pretends to manifest infinite growth is ponzi. Afterall, here we are reaping fiat ponzi.",1,0,1,2023-03-19,epsilontheory globalism dead don’t care economy fiat system return sustainable system rather relying “growth” built corrupt arbitrage system pretends manifest infinite growth ponzi afterall reaping fiat ponzi,"['epsilontheory', 'globalism', 'dead', 'don’t', 'care', 'economy', 'fiat', 'system', 'return', 'sustainable', 'system', 'rather', 'relying', '“growth”', 'built', 'corrupt', 'arbitrage', 'system', 'pretends', 'manifest', 'infinite', 'growth', 'ponzi', 'afterall', 'reaping', 'fiat', 'ponzi']",0.165,0.667,0.168,0.0258,positive
40,3150,"all the current and coming economic upheaval is a result of shutting down the world economy and artificially propping it up

Government can defer economic pain, it can redistribute it, but it cannot eliminate it.",24,0,2,2023-03-19,current coming economic upheaval result shutting economy artificially propping upgovernment defer economic pain redistribute cannot eliminate,"['current', 'coming', 'economic', 'upheaval', 'result', 'shutting', 'economy', 'artificially', 'propping', 'upgovernment', 'defer', 'economic', 'pain', 'redistribute', 'cannot', 'eliminate']",0.282,0.718,0.0,-0.6705,negative
41,841,"The Challenge of Global Capitalism: The World Economy in the 21st Century SX0QKCT

https://t.co/MehS19963e",0,0,0,2023-03-19,challenge global capitalism economy century,"['challenge', 'global', 'capitalism', 'economy', 'century']",0.0,0.755,0.245,0.0772,positive
42,1725,"@StealthQE4 This has been the bull case *the entire time* 

Now that it's happening, twitter thinks the world economy's gonna blow up

Buy the dip guys",1,0,0,2023-03-19,bull case entire time happening twitter thinks economys gonna blow upbuy dip guys,"['bull', 'case', 'entire', 'time', 'happening', 'twitter', 'thinks', 'economys', 'gonna', 'blow', 'upbuy', 'dip', 'guys']",0.0,1.0,0.0,0.0,neutral
43,1203,"Fed blinking in ‘front of financial instability’ is the ‘worst thing they can do,’ warns economic adviser #FederalReserve #WorldEconomy #FederalReserveBank #MarketNews #Money [Video] https://t.co/lHMIikOPg5",0,0,0,2023-03-19,fed blinking ‘front financial instability’ ‘worst thing do’ warns economic adviser federalreserve worldeconomy federalreservebank marketnews money,"['fed', 'blinking', '‘front', 'financial', 'instability’', '‘worst', 'thing', 'do’', 'warns', 'economic', 'adviser', 'federalreserve', 'worldeconomy', 'federalreservebank', 'marketnews', 'money']",0.085,0.915,0.0,-0.1027,negative
44,1508,@Sara43347888 @BiophysicsFL Who gained and what was gained? The seeding of infectious clones prior to the Wuhan announcement gave the false impression that this was spreading faster than it actually was. It justified lockdowns. The lockdowns crippled the world economy. It was ultimately about control.,0,0,0,2023-03-19,biophysicsfl gained gained seeding infectious clones prior wuhan announcement gave false impression spreading faster actually justified lockdowns lockdowns crippled economy ultimately control,"['biophysicsfl', 'gained', 'gained', 'seeding', 'infectious', 'clones', 'prior', 'wuhan', 'announcement', 'gave', 'false', 'impression', 'spreading', 'faster', 'actually', 'justified', 'lockdowns', 'lockdowns', 'crippled', 'economy', 'ultimately', 'control']",0.0,0.647,0.353,0.8316,positive
45,2278,"Have the markets done the Fed's job or will Powell hike another 25 bps as most forecast?
Here’s what to watch in the world economy this week https://t.co/H77TgZ4qkY via @economics",0,0,0,2023-03-19,markets done feds job powell hike another bps forecasthere’s watch economy week via economics,"['markets', 'done', 'feds', 'job', 'powell', 'hike', 'another', 'bps', 'forecasthere’s', 'watch', 'economy', 'week', 'via', 'economics']",0.0,1.0,0.0,0.0,neutral
46,654,"@Ukraine66251776 World Wide Cyber attacks --&gt; Targeting Banks --&gt; People loss all --&gt; Market crashes --&gt; Gov. will be happy and tell you that they have no fault on the collapse of the world economy, they will tell you that CBDCs are good for you,",0,0,0,2023-03-19,wide cyber attacks gt targeting banks gt people loss gt market crashes gt gov happy tell fault collapse economy tell cbdcs good,"['wide', 'cyber', 'attacks', 'gt', 'targeting', 'banks', 'gt', 'people', 'loss', 'gt', 'market', 'crashes', 'gt', 'gov', 'happy', 'tell', 'fault', 'collapse', 'economy', 'tell', 'cbdcs', 'good']",0.291,0.315,0.394,0.4404,positive
47,2394,"@RepJeffries The Republican Christofascist Party Plan? 

Crash the world economy and destroy the life savings of the American people. https://t.co/GgyRHMfckl",0,0,0,2023-03-19,repjeffries republican christofascist party plan crash economy destroy life savings american people,"['repjeffries', 'republican', 'christofascist', 'party', 'plan', 'crash', 'economy', 'destroy', 'life', 'savings', 'american', 'people']",0.346,0.503,0.151,-0.5423,negative
48,2694,@zerohedge Without severance nor pension. They destroyed the world economy and financial markets,0,0,0,2023-03-19,zerohedge without severance pension destroyed economy financial markets,"['zerohedge', 'without', 'severance', 'pension', 'destroyed', 'economy', 'financial', 'markets']",0.0,0.727,0.273,0.3875,positive
49,2905,@JaroGiesbrecht @gmbutts It has certainly had the greatest impact on the world economy.,0,0,0,2023-03-19,jarogiesbrecht gmbutts certainly greatest impact economy,"['jarogiesbrecht', 'gmbutts', 'certainly', 'greatest', 'impact', 'economy']",0.0,0.377,0.623,0.765,positive
50,1617,As well as documents that prove these so called elected political leaders are involved with organized crime and prove their involvement in a fraud scheme intended to collapse the world economy,0,0,1,2023-03-19,well documents prove called elected political leaders involved organized crime prove involvement fraud scheme intended collapse economy,"['well', 'documents', 'prove', 'called', 'elected', 'political', 'leaders', 'involved', 'organized', 'crime', 'prove', 'involvement', 'fraud', 'scheme', 'intended', 'collapse', 'economy']",0.41,0.508,0.082,-0.8555,negative
51,3453,"@MrBiteyTrashArt @AugustCohen4 @jlenweaver @JohnReedStark These are the same people who want to ban the Cryptography that makes online banking, the current world economy and the modern world in general possible. All in the name of protecting children.

It's no different then the time Florida outlawed computers to prevent online gambling",2,0,1,2023-03-19,mrbiteytrashart jlenweaver johnreedstark people want ban cryptography makes online banking current economy modern general possible name protecting childrenits different time florida outlawed computers prevent online gambling,"['mrbiteytrashart', 'jlenweaver', 'johnreedstark', 'people', 'want', 'ban', 'cryptography', 'makes', 'online', 'banking', 'current', 'economy', 'modern', 'general', 'possible', 'name', 'protecting', 'childrenits', 'different', 'time', 'florida', 'outlawed', 'computers', 'prevent', 'online', 'gambling']",0.124,0.793,0.083,-0.4939,negative
